headline,date,doc_type,material_type,section,keywords
A 40-Year Quest for Justice,2013-03-01,article,Op-Ed,,"['Demonstrations, Protests, and Riots', 'Sentences (Criminal)', 'War Crimes, Genocide and Crimes Against Humanity']"
Arkansas Law Restricts When Abortion May Occur,2013-03-01,article,News,,"['ABORTION', 'Law and Legislation', 'State Legislatures', 'States (US)']"
Help for Syrian Rebels,2013-03-01,article,Editorial,,"['Middle East and North Africa Unrest (2010- )', 'Editorials', 'Foreign Aid']"
The White House Joins the Fight,2013-03-01,article,Editorial,,"['Same-Sex Marriage, Civil Unions and Domestic Partnerships', 'Editorials']"
Kenya’s Election,2013-03-01,article,Letter,,['Elections']
What Is an Act of  Cyberwar? ,2013-03-01,article,News,,[]
Native Americans and Rape,2013-03-01,article,Letter,,"['Sex Crimes', 'Plan B (Contraceptive)', 'Native Americans']"
High-Powered Women and the Changing Workplace,2013-03-01,article,Letter,,"['Women and Girls', 'Work-Life Balance']"
Abortion in New York,2013-03-01,article,Letter,,['ABORTION']
Is the Voting Rights Law in Jeopardy?,2013-03-01,article,Letter,,"['Voting Rights Act (1965)', 'Discrimination']"
Many Steps to Be Taken When ‘Sequester’ Is Law,2013-03-01,article,News,,"['Federal Budget (US)', 'United States Economy', 'Layoffs and Job Reductions', 'Area Planning and Renewal', 'Government Employees']"
Groupon Dismisses Chief After a Dismal Quarter,2013-03-01,article,News,,"['Suspensions, Dismissals and Resignations', 'E-Commerce', 'Start-ups']"
"Years After His Heyday, Thailand’s Favorite Son Returns to Home Ring",2013-03-01,article,News,,"['Boxing', 'Mixed Martial Arts']"
"Woodward Is New Hero for the Right (Yes, Really)",2013-03-01,article,News,,"['United States Politics and Government', 'News and News Media', 'United States Economy', 'Federal Budget (US)']"
Haitian Ex-Dictator Is Questioned in Court Over Reign,2013-03-01,article,News,,"['Human Rights and Human Rights Violations', 'Torture', 'Deaths (Fatalities)']"
"In Miami, the Last Slugger Standing",2013-03-01,article,News,,"['Baseball', 'Wages and Salaries', 'Trades (Sports)']"
Michigan: Governor Expected to Rule on Detroit,2013-03-01,article,Brief,,"['Bankruptcies', 'Budgets and Budgeting', 'Appointments and Executive Changes']"
Princeton’s Do-Everything Star Has Built on Family Legacy,2013-03-01,article,News,,"['College Athletics', 'Basketball', 'Basketball (College)']"
Use of Electronic Cigarettes Grows,2013-03-01,article,Brief,,"['Smoking and Tobacco', 'Research']"
"Corrections: March 1, 2013",2013-03-01,article,Correction,,[]
Hope Springs Eternal,2013-03-01,article,News,,['Crossword Puzzles']
"A Private World, Heedlessly Invaded",2013-03-01,article,Review,,['Theater']
Close Enough to Singe Your Soul,2013-03-01,article,Review,,['Theater']
Court Overturns War Crimes Conviction of Former Chief of Yugoslav Army,2013-03-01,article,News,,"['Decisions and Verdicts', 'War Crimes, Genocide and Crimes Against Humanity']"
St. John’s Player From Dominican Republic Regains Eligibility,2013-03-01,article,News,,"['College Athletics', 'Basketball', 'Basketball (College)']"
"In Bay Area, a Fragile Relationship Between Muslims and the F.B.I.",2013-03-01,article,News,,"['Hate Crimes', 'Muslims and Islam', 'Threats and Threatening Messages', 'ARSON', 'Freedom of Information Act']"
Israel: Autopsy of Detainee Shows Signs of ‘Resuscitation Attempts’,2013-03-01,article,Brief,,"['Deaths (Fatalities)', 'Detainees', 'Palestinians', 'Prisons and Prisoners', 'Torture']"
"Mets’ Wright Is Putting Country First, for Now",2013-03-01,article,News,,"['Baseball', 'World Baseball Classic']"
"An N.F.L. Payday, Now a Bit Cheaper",2013-03-01,article,News,,"['Football', 'Free Agents (Sports)', 'Wages and Salaries']"
"Boehner Halts Talks on Cuts, and House G.O.P. Cheers",2013-03-01,article,News,,"['Law and Legislation', 'Federal Budget (US)', 'Federal Aid (US)', 'United States Politics and Government']"
China: German Journalists Say They Were Assaulted for Filming,2013-03-01,article,Brief,,"['News and News Media', 'Assaults']"
"Nash Looks Like Himself, and the Rangers Get Back on Track, Too",2013-03-01,article,News,,"['Hockey, Ice']"
Argentina: Congress Supports Deal With Iran to Investigate 1994 Blast,2013-03-01,article,Brief,,['Terrorism']
"After 24 Years, Awaiting End to the Silence",2013-03-01,article,News,,"['Central Park Jogger Case (1989)', 'False Arrests, Convictions and Imprisonments', 'Suits and Litigation', 'Documentary Films and Programs']"
Brazil: U.S. State Department Employee Strangled at Hotel,2013-03-01,article,Brief,,['Murders and Attempted Murders']
Ireland: Suspect in Terrorism Case Faces Extradition to U.S.,2013-03-01,article,Brief,,"['Extradition', 'Assassinations and Attempted Assassinations']"
SUNY Adds a Hip-Hop Anthem to Its Marketing Set List,2013-03-01,article,News,,"['Rap and Hip-Hop', 'ADVERTISING AND MARKETING', 'Colleges and Universities', 'Music']"
Prosecutors Try to Bolster Core Idea in Cannibal Case,2013-03-01,article,News,,"['Cannibalism', 'Computers and the Internet', 'Sex Crimes', 'Kidnapping']"
Teacher From Sweden Is Quick Study in N.H.L.,2013-03-01,article,News,,"['Hockey, Ice']"
A Citi Hedge Fund Business Prepares for Life on Its Own,2013-03-01,article,News,,"['Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)', 'Hedge Funds']"
"Quotation of the Day for Friday, Mar. 1, 2013",2013-03-01,article,Quote,,[]
"Born as a Tribute but Faltering, a Bronx School Nears Its End",2013-03-01,article,News,,"['Education (K-12)', 'Shutdowns (Institutional)']"
Canucks Center Injured Again,2013-03-01,article,News,,"['Hockey, Ice']"
Nets’ Bogans Works From a Corner Office,2013-03-01,article,News,,['Basketball']
New State Academic Standards Are Said to Require $56 Million Outlay for City’s Schools,2013-03-01,article,News,,"['Standards and Standardization', 'Textbooks', 'Education (K-12)']"
Malaysian Incursion by Filipinos Ends in a Deadly Clash,2013-03-01,article,News,,"['Police', 'Muslims and Islam']"
Pentagon Returns New F-35 Jets to Service After Investigation,2013-03-01,article,News,,"['Military Aircraft', 'United States Defense and Military Forces', 'Engines', 'F-35 Airplane']"
Liu Denounces Inquiry Into His Fund-Raising,2013-03-01,article,News,,"['Elections, Mayors', 'City Councils', 'Paid Time Off', 'Campaign Finance']"
Lottery Numbers,2013-03-01,article,List,,[]
Word of the Day | lank,2013-03-01,article,News,,[]
"Jane C. Wright, Pioneering Oncologist, Dies at 93",2013-03-01,article,Obituary (Obit),,"['Cancer', 'Deaths (Obituaries)', 'Race and Ethnicity']"
"Wojciech Inglot, Polish Cosmetics Maker, Dies at 57",2013-03-01,article,Obituary (Obit),,"['Cosmetics and Toiletries', 'Deaths (Obituaries)', 'Nails (Body Part)', 'Muslims and Islam']"
State’s Justices Forced to Face Pull of Politics,2013-03-01,article,News,,"['Elections, Courts and the Judiciary']"
What’s On Friday,2013-03-01,article,Schedule,,[]
Restoring Family-Planning Cuts Without Ruffling Feathers,2013-03-01,article,News,,"['Birth Control and Family Planning', 'Medicine and Health']"
Concerns That Regents Are Micromanaging Colleges,2013-03-01,article,News,,"['Law and Legislation', 'Colleges and Universities']"
GTT ★,2013-03-01,article,News,,"['Flowers and Plants', 'Movies', 'Art']"
IHT Quick Read: March 1,2013-03-01,article,News,,[]
"News Quiz | March 1, 2013",2013-03-01,article,News,,[]
South Korea’s New Leader Exhorts the North to Tread a ‘Path of Change’,2013-03-01,article,News,,"['ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'International Relations', 'Nuclear Weapons']"
The Truthers of Pakistan,2013-03-01,article,News,,[]
How Will India Pay for the Perks in the New Budget?,2013-03-01,article,News,,"['Budgets and Budgeting', 'Indian Rupee (Currency)', 'Mines and Mining', 'Taxation']"
Lanvin: Breaking Away,2013-03-01,article,News,,"['Dresses', 'Fashion and Apparel', 'Flowers and Plants', 'Models (Professional)']"
Death Toll From Bangladesh Unrest Reaches 44,2013-03-01,article,News,,"['War Crimes, Genocide and Crimes Against Humanity', 'Demonstrations, Protests, and Riots', 'Decisions and Verdicts', 'Muslims and Islam']"
Lloyds Banking Reports a $2.2 Billion Annual Loss,2013-03-01,article,News,,"['Company Reports', 'Executive Compensation', 'Regulation and Deregulation of Industry']"
"In Helping a Brother, Fraternity Raises Awareness of Transgender Issues",2013-03-01,article,News,,[]
"Chinese Family Memories, Recycled",2013-03-01,article,News,,"['Archives and Records', 'Collectors and Collections', 'Photography', 'Recycling of Waste Materials']"
Would You Rather Work From Home or in an Office?,2013-03-01,article,News,,[]
Getting In Without the SAT,2013-03-01,article,News,,"['ACT (Examination)', 'ADMISSIONS STANDARDS', 'Colleges and Universities', 'SAT (College Admission Test)', 'Tests and Examinations']"
The Early Word: Cutting Up,2013-03-01,article,News,,[]
"… Live From Acapulco, It’s Tabare Ramos",2013-03-01,article,News,,['Soccer']
"Shocked, Shocked, Over Hospital Bills",2013-03-01,article,News,,"['Health Insurance and Managed Care', 'Hospitals', 'Nonprofit Organizations', 'Prices (Fares, Fees and Rates)']"
Triumph Spiffs Up Its Standbys,2013-03-01,article,News,,"['Automobiles', 'Motorcycles, Motor Bikes and Motorscooters']"
Roland Mouret: Fall 2013 RTW,2013-03-01,multimedia,Slideshow,,[]
Why Can’t I Live With People Like Me?,2013-03-01,article,News,,"['Elder Care', 'Nursing Homes', 'Retirement Communities and Assisted Living']"
Japan Sentences 2 U.S. Sailors to Prison for Rape on Okinawa,2013-03-01,article,News,,"['Sex Crimes', 'United States Defense and Military Forces', 'Decisions and Verdicts', 'Military Bases and Installations']"
Euro Zone Reports Record Joblessness and Low Inflation,2013-03-01,article,News,,"['Unemployment', 'European Sovereign Debt Crisis (2010- )', 'Inflation (Economics)', 'Euro (Currency)']"
"For Miami Shooters, February Was the Hottest Month",2013-03-01,article,News,,['Basketball']
Where Should I Invest My Marketing Dollars?,2013-03-01,article,News,,"['ADVERTISING AND MARKETING', 'Kitchens', 'Online Advertising', 'Small Business']"
Daily Report: Groupon Dismisses Chief After a Dismal Quarter,2013-03-01,article,News,,"['Company Reports', 'Suspensions, Dismissals and Resignations']"
Former UBS Trader Seeks to Appeal Fraud Conviction,2013-03-01,article,News,,"['Decisions and Verdicts', 'Frauds and Swindling']"
The Tab Is On Me!,2013-03-01,article,News,,['Taxation']
"Divided Chinese See a Live TV Program About Executions as Crass, or Cathartic",2013-03-01,article,News,,"['Capital Punishment', 'Television']"
Groupon C.E.O. Is Out,2013-03-01,article,News,,[]
Chalayan: Fall 2013 RTW,2013-03-01,multimedia,Slideshow,,[]
Q&A: Backing Up a Windows 8 System,2013-03-01,article,News,,"['Computers and the Internet', 'Software', 'Windows (Operating System)']"
Can Democrats Turn Texas and Arizona Blue by 2016?,2013-03-01,article,News,,"['Hispanic-Americans', 'Polls and Public Opinion', 'Presidential Election of 2012', 'Presidential Election of 2016']"
How to Beat Some Facebook Scammers,2013-03-01,article,News,,['Frauds and Swindling']
"Test Yourself | Editing Practice, March 1, 2013",2013-03-01,article,News,,[]
Muslims Seek Dialogue With Next Pope,2013-03-01,article,News,,"['Muslims and Islam', 'Religion and Belief']"
Opinion Report: Home Care Workers,2013-03-01,article,News,,[]
Army Private Admits Giving Military Files to WikiLeaks,2013-03-01,article,News,,[]
Friday Reading: Getting Into College Without the S.A.T.,2013-03-01,article,News,,[]
"Taking American Dance to China, and Bringing Back a Film",2013-03-01,article,News,,"['Dancing', 'Documentary Films and Programs', 'Movies']"
A Costly Desalination Plant in California Might Become a Bargain,2013-03-01,article,News,,[]
New Research Shows Smaller Gap Between Warming and Carbon Dioxide at Ice Age’s End,2013-03-01,article,News,,[]
Some Far Out (at Least for Now) Energy Ideas,2013-03-01,article,News,,[]
"Ram Singh, the Milk Vendor from Bihar",2013-03-01,article,News,,['Crime Rates']
Showdown on Executive Compensation in Switzerland,2013-03-01,article,News,,"['Executive Compensation', 'Regulation and Deregulation of Industry']"
App Smart Extra: Starry Night,2013-03-01,article,News,,"['Astronomy and Astrophysics', 'Mobile Applications']"
Carlyle-Led Group to Take Chinese Hotel Chain Private,2013-03-01,article,News,,"['Mergers, Acquisitions and Divestitures']"
Syrian Rebel Leader Deals With Ties to Other Side,2013-03-01,article,Biography,,"['Defectors (Political)', 'Middle East and North Africa Unrest (2010- )']"
Hungarian Prime Minister Cements Control Over Central Bank,2013-03-01,article,News,,"['Banking and Financial Institutions', 'Appointments and Executive Changes']"
Running on Empty,2013-03-01,article,News,,"['New York City Triathlon', 'Running']"
"Despite the Dysfunction, Congress Still Has Fans ",2013-03-01,article,News,,"['United States Politics and Government', 'Polls and Public Opinion', 'Federal Budget (US)']"
The Breakfast Meeting: Rethinking the Nook and Woodward vs. the White House,2013-03-01,article,News,,[]
Stinging Electoral Defeat for British Conservatives as Right-Wing Party Makes Gains ,2013-03-01,article,News,,[]
Face Time | Keri Russell,2013-03-01,article,News,,['Cosmetics and Toiletries']
Remembering a Silent Success in Afghanistan,2013-03-01,article,News,,"['Afghanistan War (2001- )', 'Children and Childhood', 'Education', 'United States Defense and Military Forces']"
More on Divergent Paths to Human Progress,2013-03-01,article,News,,"['Disasters and Emergencies', 'Fukushima Daiichi Nuclear Power Plant (Japan)', 'Population', 'Sustainable Living']"
Off the Charts: More Money Stays at Home,2013-03-01,multimedia,Interactive Feature,,['Economic Conditions and Trends']
"Globalization, Measured by Investment, Takes a Step Backward ",2013-03-01,article,News,,"['International Trade and World Market', 'Foreign Investments', 'Stocks and Bonds']"
What We’re Reading,2013-03-01,article,News,,[]
Disastrous Predictions and Predictable Disasters,2013-03-01,article,News,,[]
Cheers in Brooklyn as Storm-Struck Grocery Store Returns,2013-03-01,article,News,,['Hurricane Sandy (2012)']
Unreasonably ‘Terrified’ of a Second Labor,2013-03-01,article,News,,"['Babies and Infants', 'Parenting', 'Pregnancy and Childbirth']"
Deconstructing Thom Yorke’s Atoms for Peace,2013-03-01,audio,,,[]
"College Admission Roulette: Ask for Financial Aid, or Not?",2013-03-01,article,News,,"['High Net Worth Individuals', 'Personal Finances', 'Financial Aid (Education)', 'Colleges and Universities', 'Tuition']"
Spending Cuts Begin,2013-03-01,multimedia,Video,,"['Federal Budget (US)', 'United States Politics and Government']"
Refusing to Be Late on Gay Marriage,2013-03-01,article,News,,"['Same-Sex Marriage, Civil Unions and Domestic Partnerships', 'Corporations', 'Defense of Marriage Act (1996)']"
"Common Core Practice | Twitter Hacking, Working From Home and Fake Viral Videos",2013-03-01,article,News,,[]
Alana Zimmer Transforms Backstage at Rick Owens,2013-03-01,article,News,,"['Models (Professional)', 'Paris Fashion Week']"
"As Cuts Arrive, Parties Pledge to Call Off the Budget Wars",2013-03-01,article,News,,"['United States Politics and Government', 'Federal Budget (US)']"
"Auto Sales Rise 3.7%, Lifted by Upturn in Home Construction ",2013-03-01,article,News,,"['Automobiles', 'Company Reports']"
More Red Fire Hydrants Are Popping Up on the Sidewalks,2013-03-01,article,News,,['Fires and Firefighters']
Bertelsmann Acquires Full Control of BMG Music Company,2013-03-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'Music']"
McIlroy Walks Out as Concern Creeps In,2013-03-01,article,News,,['Golf']
"If You Like Rickie Lee Jones, Try ZZ Ward",2013-03-01,article,News,,"['Baby Boomers', 'Music', 'Rock Music']"
Film on Hunger in America Opens,2013-03-01,article,News,,['Documentary Films and Programs']
Three Arguments for the Sequester,2013-03-01,article,News,,[]
No Comment Necessary: Dennis Rodman in North Korea,2013-03-01,article,News,,[]
"That Most Important Dress, or at Least a Look-Alike",2013-03-01,article,News,,"['Weddings and Engagements', 'Fashion and Apparel', 'Counterfeit Merchandise', 'Dresses']"
Susan Boyle Gets a Movie Role,2013-03-01,article,News,,[]
"For International Herald Tribune, Romance Gives Way to Reality",2013-03-01,article,News,,[]
Coach Bobby Knight on Why He’s So Unpleasant,2013-03-01,article,Interview,,"['Books and Literature', 'Basketball (College)', 'Coaches and Managers']"
Who Made That Sliced Bread?,2013-03-01,article,News,,"['Bread', 'Inventions and Patents', 'Bakeries and Baked Products']"
Bound Together by Blood and Wine,2013-03-01,article,News,,"['Wines', 'Family Business', 'Grandparents']"
The 2.17.13 Issue,2013-03-01,article,Letter,,[]
The Journalist and the Moneymaker,2013-03-01,article,Question,,"['Ethics (Personal)', 'Ethicist, The (Times Column)', 'Writing and Writers', 'Lotteries', 'Parking', 'Books and Literature']"
U.S. Teams to Wear Classic White,2013-03-01,article,News,,"['Soccer', 'Uniforms']"
Popcast: Deconstructing Thom Yorke’s Atoms for Peace,2013-03-01,article,News,,[]
India’s Mr. Death,2013-03-01,article,News,,"['Capital Punishment', 'Crime Rates', 'Debates (Political)', 'Sentences (Criminal)']"
Book Review Podcast,2013-03-01,audio,,,"['Books and Literature', 'Podcasts']"
Armstrong Facing Two More Lawsuits,2013-03-01,article,News,,"['Tour de France (Bicycle Race)', 'Suits and Litigation', 'Bicycles and Bicycling', 'Doping (Sports)']"
Gay Marriage Shift,2013-03-01,multimedia,Video,,[]
"Married 38 Years, and He Says She Is Never Wrong",2013-03-01,article,News,,"['Baby Boomers', 'Marriages', 'Divorce, Separations and Annulments']"
Release of Third ‘Hobbit’ Film Delayed,2013-03-01,article,News,,[]
Robert A. Caro and Ben Fountain Among National Book Critics Circle Winners,2013-03-01,article,News,,"['Awards, Decorations and Honors', 'Books and Literature']"
Model A Exhibition Showcases Car-Moving Technology,2013-03-01,article,News,,"['Automobiles', 'Museums', 'Robots and Robotics']"
A Taste for Whole Foods (or Roman Tubs),2013-03-01,article,News,,"['ADVERTISING AND MARKETING', 'Real Estate and Housing (Residential)']"
The Immorality of the Interest Rate Hawks,2013-03-01,article,News,,[]
Cano Hopes to Avoid Contract Distractions,2013-03-01,article,News,,"['Baseball', 'Free Agents (Sports)']"
Christian Dior: Fall 2013 RTW,2013-03-01,multimedia,Slideshow,,[]
By Any Other Name,2013-03-01,article,News,,"['Books and Literature', 'Writing and Writers']"
Die Laughing,2013-03-01,article,Review,,['Books and Literature']
Up Front,2013-03-01,article,News,,['Books and Literature']
Inside the List,2013-03-01,article,News,,['Books and Literature']
Editors’ Choice,2013-03-01,article,List,,['Books and Literature']
Paperback Row,2013-03-01,article,List,,['Books and Literature']
Book Review Podcast: The Bully Problem,2013-03-01,article,News,,"['Books and Literature', 'Bullies']"
Invasions of Space,2013-03-01,article,Review,,['Books and Literature']
The Iran Syndrome,2013-03-01,article,Review,,"['Books and Literature', 'United States International Relations']"
The Sound of Silence,2013-03-01,article,Review,,"['Books and Literature', 'Ears and Hearing', 'Deafness']"
Custody Flight,2013-03-01,article,Review,,['Books and Literature']
The Daily Round,2013-03-01,article,Review,,"['Books and Literature', 'Writing and Writers']"
Cause(s) and Effect(s),2013-03-01,article,Review,,"['United States Economy', 'Books and Literature', 'Banking and Financial Institutions', 'Subprime Mortgage Crisis', 'Recession and Depression', 'Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)']"
A Good Look at Herself,2013-03-01,article,Review,,['Books and Literature']
Automated Parking Garages,2013-03-01,multimedia,Slideshow,,"['Parking Garages and Lots', 'Real Estate and Housing (Residential)', 'Automobiles']"
Hate Valet? Not to Worry; Help Is at Hand,2013-03-01,article,News,,"['Real Estate and Housing (Residential)', 'Parking Garages and Lots', 'Parking', 'Automobiles']"
Order by the Sword,2013-03-01,article,Review,,['Books and Literature']
Three Sisters,2013-03-01,article,Review,,['Books and Literature']
"This Week’s Movies: ‘Stoker,’ ‘Leviathan’ and ‘Jack the Giant Slayer’",2013-03-01,article,News,,[]
Photos of The Moment | Balmain,2013-03-01,article,News,,"['Fashion and Apparel', 'Paris Fashion Week', 'Photography']"
Deep Philosophical Divide Underlies the Impasse,2013-03-01,article,News,,"['Federal Budget (US)', 'Taxation', 'United States Politics and Government']"
Dealing With the Cost of College,2013-03-01,article,News,,"['Colleges and Universities', 'Financial Aid (Education)', 'Personal Finances']"
Michigan Naming Fiscal Manager to Help Detroit,2013-03-01,article,News,,"['City Councils', 'Economic Conditions and Trends']"
Branagh to Play Macbeth at Manchester Festival,2013-03-01,article,News,,['Theater']
On Our Radar: Asian Dust and California Snow,2013-03-01,article,News,,[]
Insurance Company Sues Lance Armstrong,2013-03-01,multimedia,Interactive Feature,,"['Suits and Litigation', 'Cycling, Road']"
The Sweet Spot | Binge Viewing,2013-03-01,multimedia,Video,,[]
Isabel Marant: Fall 2013 RTW,2013-03-01,multimedia,Slideshow,,[]
Speaker Boehner's Budget Statement,2013-03-01,multimedia,Video,,['Politics and Government']
Quirks of the Game: The Official Blank of M.L.B.,2013-03-01,article,News,,['Baseball']
Q & A,2013-03-01,article,News,,"['Real Estate and Housing (Residential)', 'Kitchens', 'Cooperatives', 'Plumbing']"
The Sweet Spot: Streaming Along,2013-03-01,article,News,,"['Computers and the Internet', 'Television', 'Video Recordings and Downloads']"
"Calendar: Coming Events in Auburn, N.Y.; Cambridge, Md.; Seattle",2013-03-01,article,News,,['Travel and Vacations']
Vain Glorious | Terveer Perfume Oils,2013-03-01,article,News,,['Perfumes and Fragrances']
Detroit's Fiscal Woes,2013-03-01,multimedia,Video,,[]
Think Like a Doctor: The Wobble Solved!,2013-03-01,article,News,,[]
"God’s Word, the Greatly Abridged Version",2013-03-01,article,Review,,"['Bible', 'Television']"
Kerry Comes to Turkey With Rebuke of Its Leader Over Zionism Remark,2013-03-01,article,News,,"['United States International Relations', 'Palestinians', 'International Relations', 'Zionism', 'ANTI-SEMITISM', 'Muslims and Islam']"
Image of the Day: March 1,2013-03-01,article,News,,['Prisons and Prisoners']
"Answers to Reader Questions: The Blackhawks’ Streak, Islanders’ Woes and a Shorter Schedule?",2013-03-01,article,News,,"['Hockey, Ice']"
Fracking Under a Historic Farm,2013-03-01,article,News,,"['Agriculture and Farming', 'Historic Buildings and Sites', 'Hydraulic Fracturing', 'Natural Gas', 'Shale', 'Underground Railroad (19th Century)', 'Water Pollution']"
Photos of The Moment | Lanvin,2013-03-01,article,News,,"['Fashion and Apparel', 'Paris Fashion Week']"
Weekend Fare,2013-03-01,article,News,,[]
Photo Replay: March 1,2013-03-01,multimedia,Slideshow,,[]
Already a Cinema Veteran at 19,2013-03-01,article,News,,['Movies']
Finding Fulfillment in a Smaller Spotlight,2013-03-01,article,News,,['Dancing']
"A Virtuoso, at Least in His Spare Time",2013-03-01,article,News,,"['Classical Music', 'Music']"
Sacrifice at the Altar of Intolerance,2013-03-01,article,News,,['Movies']
Automakers Work to Achieve Zero-Waste Goals,2013-03-01,article,News,,"['Automobiles', 'Factories and Manufacturing', 'Recycling of Waste Materials', 'Waste Materials and Disposal']"
Obama Jokes of ‘Jedi Mind Meld’,2013-03-01,multimedia,Video,,"['Budgets and Budgeting', 'Politics and Government']"
Hollywood’s Priceless Sounding Board,2013-03-01,article,News,,['Movies']
Royal Pedigree Infuses Collective Beats,2013-03-01,article,News,,['Music']
"A Symbol of Liberty, Strength and Budget Fights",2013-03-01,article,News,,"['Federal Budget (US)', 'United States Politics and Government', 'National Parks, Monuments and Seashores', 'Monuments and Memorials (Structures)']"
Kimchi Radish Pickle,2013-03-01,multimedia,Video,,"['Pickles and Relishes', 'Canning and Preserving', 'Cooking and Cookbooks']"
The Limits of Executive Power,2013-03-01,article,News,,['Federal Budget (US)']
"Before a Tourist’s Body Was Found, Rebuffed Efforts to Report Her Missing",2013-03-01,article,News,,['Missing Persons']
New Orleans Snowball Wars Come to an End,2013-03-01,article,News,,[]
German Copyright Law Targets Google Links,2013-03-01,article,News,,"['Search Engines', 'Copyrights and Copyright Violations']"
A Rainbow of Root Vegetables,2013-03-01,article,News,,[]
